probe;bTau
p08;-0.0857
p08;-0.1053
p08;-0.1719
p08;-0.0233
p08;0.1397
p08;-0.1806
p08;-0.0533
p08;-0.0951
p08;-0.0776
p08;-0.1588
p08;-0.1381
p08;-0.0457
p08;-0.0860
p08;-0.1808
p08;-0.1859
p08;-0.1269
p08;-0.1930
p08;-0.1501
p08;-0.1493
p08;-0.1493
p09;-0.2106
p09;-0.0794
p09;-0.1376
p09;-0.0772
p09;-0.1362
p09;-0.2745
p09;-0.1720
p09;-0.2436
p09;-0.2966
p09;-0.0431
p09;-0.1390
p09;-0.0842
p09;0.0912
p09;-0.1807
p09;-0.2914
p09;-0.2106
p09;-0.1970
p09;-0.2115
p09;-0.2093
p09;-0.1118
p10;0.0260
p10;-0.0946
p10;-0.0298
p10;-0.0944
p10;-0.2595
p10;-0.2305
p10;-0.1739
p10;-0.3102
p10;-0.2040
p10;-0.0763
p10;-0.2297
p10;-0.0830
p10;-0.1403
p10;-0.1130
p10;-0.1386
p10;-0.2378
p10;-0.1340
p10;-0.2630
p10;-0.1715
p10;-0.0842
p11;0.0970
p11;-0.0106
p11;0.1115
p11;0.0131
p11;0.1114
p11;0.1609
p11;0.1650
p11;-0.0764
p11;0.0318
p11;-0.0127
p11;0.0716
p11;0.1349
p11;0.1075
p11;0.0220
p11;-0.0542
p11;0.0230
p11;0.0905
p11;0.0403
p11;-0.0287
p11;0.1548
p12;0.0838
p12;-0.0290
p12;0.0251
p12;0.0515
p12;0.0397
p12;0.0633
p12;-0.0296
p12;0.1751
p12;0.1772
p12;0.2018
p12;0.2202
p12;0.1280
p12;0.0660
p12;0.0730
p12;0.0348
p12;0.1331
p12;0.0370
p12;0.1032
p12;0.0615
p12;0.2248
p13;-0.0573
p13;-0.0782
p13;-0.0172
p13;0.0465
p13;0.0288
p13;-0.0403
p13;0.0131
p13;-0.0859
p13;-0.0581
p13;-0.0568
p13;0.1115
p13;0.0320
p13;-0.0687
p13;-0.1154
p13;-0.0097
p13;-0.0726
p13;0.0172
p13;-0.0657
p13;-0.1338
p13;-0.1110
p12;0.1725
p12;0.1573
p12;0.1966
p12;0.1465
p12;0.2602
p12;0.2619
p12;0.3407
p12;0.2068
p12;0.3033
p12;0.0106
p12;0.1480
p12;0.1459
p12;0.1074
p12;0.2575
p12;0.0478
p12;0.1668
p12;0.0721
p12;0.2701
p12;0.1124
p12;0.1021
p13;-0.0599
p13;0.2413
p13;0.1328
p13;0.0283
p13;0.0624
p13;-0.0138
p13;-0.0294
p13;-0.0196
p13;0.0420
p13;0.0457
p13;-0.1039
p13;0.0057
p13;0.1313
p13;0.0966
p13;-0.0405
p13;-0.0728
p13;0.1026
p13;-0.0137
p13;-0.0236
p13;-0.1246
p16;0.1810
p16;0.4098
p16;0.4163
p16;0.3947
p16;0.2972
p16;0.3761
p16;0.3520
p16;0.3857
p16;0.4084
p16;0.3486
p16;0.2653
p16;0.3209
p16;0.2496
p16;0.3818
p16;0.3445
p16;0.1841
p16;0.2941
p16;0.1937
p16;0.2213
p16;0.2166
p17;0.0107
p17;-0.0524
p17;0.0184
p17;-0.0660
p17;-0.0380
p17;-0.0998
p17;-0.0601
p17;0.0591
p17;-0.0323
p17;-0.0319
p17;0.0127
p17;-0.0454
p17;-0.1030
p17;-0.0181
p17;0.0264
p17;-0.0594
p17;-0.0156
p17;0.0121
p17;0.0067
p17;-0.0628
