probe;Rval;bTau;Rs
p09;0.08;0.3748;0.50500424
p09;0.26;0.3646;0.48445147
p09;-0.29;0.2096;0.29265536
p09;0;0.3033;0.39956222
p09;-0.02;0.3485;0.46082918
p09;-0.31;0.1724;0.23347606
p09;-0.4;0.1016;0.13641294
p09;-0.42;0.1931;0.25886324
p09;-0.41;0.0733;0.1011132
p09;-0.45;0.1663;0.21987259
p09;-0.64;0.0929;0.12537392
p15;0.53;0.417;0.51583289
p15;0.25;0.4995;0.60776127
p15;0.07;0.6682;0.82146131
p15;0.09;0.569;0.72450822
p15;0.42;0.3875;0.49059602
p15;0.29;0.3456;0.41812355
p15;0.49;0.496;0.61131177
p15;0.52;0.5382;0.64822242
p15;0.29;0.5764;0.72557572
p15;0.46;0.5518;0.71386776
p15;0.48;0.4974;0.62846711
p28;-0.25;-0.0801;-0.10809136
p28;-0.23;-0.0156;-0.0250093
p28;-0.39;0.232;0.32807467
p28;-0.4;0.2118;0.30006617
p28;-0.2;0.0375;0.05982931
p28;-0.2;0.0864;0.13794569
p28;-0.14;0.072;0.10482857
p28;-0.06;0.2475;0.33767093
p36;-0.12;-0.0179;-0.01882738
p36;-0.08;0.0374;0.0553327
p36;-0.14;-0.0689;-0.09059584
p36;-0.11;-0.0533;-0.06626621
p36;-0.13;-0.1122;-0.14936692
p36;-0.1;0.0416;0.05825406
p36;-0.14;-0.1052;-0.14371057
p36;-0.09;0.1078;0.16436417
p36;-0.09;0.1286;0.19271198
p36;-0.13;-0.0439;-0.05708295
p36;-0.12;0.0563;0.09265661
p36;-0.13;-0.1069;-0.14660025
p36;-0.1;0.0029;0.01168756
p09;0.42;0.3636;0.46100466
p09;0.26;0.3992;0.52113997
p09;-0.30;0.0931;0.12475662
p09;-0.02;0.1687;0.21875740
p09;-0.15;0.2162;0.29234040
p09;0.33;0.3169;0.41230590
p09;0.06;0.2994;0.40314500
p09;0.56;0.3416;0.45462679
p09;0.05;0.3407;0.44830325
p15;0.26;0.4547;0.56234767
p15;0.20;0.3910;0.46401211
p15;0.56;0.5621;0.68940156
p15;-0.14;0.5375;0.65992851
p15;0.44;0.4916;0.60594749
p15;0.55;0.4264;0.52915644
p15;0.37;0.5418;0.67616341
p15;0.59;0.5023;0.59887468
p15;0.27;0.5679;0.68349236
p15;0.29;0.5074;0.61373929
p15;0.21;0.4600;0.54684380
p15;0.25;0.4806;0.57805379
p15;0.21;0.5227;0.63375359
p15;-0.08;0.5743;0.70342650
p15;0.27;0.6491;0.77951664
p28;-0.20;0.3321;0.41746216
p28;-0.38;0.2472;0.31568850
p28;-0.28;0.3129;0.40424818
p28;-0.16;0.3883;0.49960807
p28;0.07;0.5058;0.63119402
p28;-0.06;0.3688;0.46428415
p28;-0.41;0.3168;0.40874813
p28;-0.06;0.3601;0.45251791
p28;-0.32;0.2807;0.35878006
p28;-0.10;0.3278;0.41591017
p28;0.09;0.2939;0.37136532
p36;-0.16;0.2955;0.37707914
p36;-0.06;-0.0777;-0.10059649
p36;-0.09;0.0838;0.10748653
p36;-0.03;0.0444;0.05662460
p36;-0.24;0.2268;0.29856742
p36;-0.15;0.0948;0.12205244
p36;0.02;0.3652;0.48943594
p36;-0.06;0.1680;0.22715523
p36;-0.09;-0.0023;0.00020316
p36;-0.08;0.1773;0.24499926
p36;-0.11;0.1185;0.17235915
